|    name |         ra |      dec | cost |
| Umi_A01 |      228.2 |     67.5 |  200 |
| Umi_A02 |      228.2 |     67.5 |  200 |
| Umi_A03 |      228.2 |     67.5 |  200 |
| Umi_B01 |      226.3 |     67.5 |  200 |
| Umi_B02 |      226.3 |     67.5 |  200 |
| Umi_B03 |      226.3 |     67.5 |  200 |
| Umi_C01 |      226.0 |     66.9 |  200 |
| Umi_C02 |      226.0 |     66.9 |  200 |
| Umi_C03 |      226.0 |     66.9 |  200 |
| Umi_D01 |      228.1 |   66.955 |  200 |
| Umi_D02 |      228.1 |   66.955 |  200 |
| Umi_D03 |      228.1 |   66.955 |  200 |
|  GE_D00 |  150.69672 | 2.822468 |  100 |
|  GE_D01 | 150.718438 | 2.812009 |  100 |
|  GE_D02 | 150.723801 | 2.788509 |  100 |
|  GE_D03 | 150.708772 | 2.769663 |  100 |
|  GE_D04 | 150.684668 | 2.769663 |  100 |
|  GE_D05 | 150.669639 | 2.788509 |  100 |
|  GE_D06 | 150.675002 | 2.812009 |  100 |
|  GE_D07 |  150.69672 | 2.822468 |  100 |
