| targetfield | observingslot |       airmass |
|     Umi_A01 | 20210201_0900 | 1.90703698279 |
|     Umi_A01 | 20210201_1000 | 1.68549933158 |
|     Umi_A01 | 20210201_1100 | 1.55500377128 |
|     Umi_A01 | 20210201_1200 | 1.49188570871 |
|     Umi_A01 | 20210201_1300 | 1.48580079641 |
|     Umi_A01 | 20210201_1400 | 1.53578932668 |
|     Umi_A01 | 20210210_0900 | 1.90703698279 |
|     Umi_A01 | 20210210_1000 | 1.68549933158 |
|     Umi_A01 | 20210210_1100 | 1.55500377128 |
|     Umi_A01 | 20210210_1200 | 1.49188570871 |
|     Umi_A01 | 20210210_1300 | 1.48580079641 |
|     Umi_A01 | 20210210_1400 | 1.53578932668 |
|     Umi_A01 | 20210211_0900 | 1.88898052113 |
|     Umi_A01 | 20210211_1000 | 1.67451350105 |
|     Umi_A01 | 20210211_1100 | 1.54897646476 |
|     Umi_A01 | 20210211_1200 | 1.48979810513 |
|     Umi_A01 | 20210211_1300 | 1.48732272839 |
|     Umi_A01 | 20210211_1400 | 1.54116002634 |
|     Umi_A02 | 20210201_0900 | 1.90703698279 |
|     Umi_A02 | 20210201_1000 | 1.68549933158 |
|     Umi_A02 | 20210201_1100 | 1.55500377128 |
|     Umi_A02 | 20210201_1200 | 1.49188570871 |
|     Umi_A02 | 20210201_1300 | 1.48580079641 |
|     Umi_A02 | 20210201_1400 | 1.53578932668 |
|     Umi_A02 | 20210210_0900 | 1.90703698279 |
|     Umi_A02 | 20210210_1000 | 1.68549933158 |
|     Umi_A02 | 20210210_1100 | 1.55500377128 |
|     Umi_A02 | 20210210_1200 | 1.49188570871 |
|     Umi_A02 | 20210210_1300 | 1.48580079641 |
|     Umi_A02 | 20210210_1400 | 1.53578932668 |
|     Umi_A02 | 20210211_0900 | 1.88898052113 |
|     Umi_A02 | 20210211_1000 | 1.67451350105 |
|     Umi_A02 | 20210211_1100 | 1.54897646476 |
|     Umi_A02 | 20210211_1200 | 1.48979810513 |
|     Umi_A02 | 20210211_1300 | 1.48732272839 |
|     Umi_A02 | 20210211_1400 | 1.54116002634 |
|     Umi_A03 | 20210201_0900 | 1.90703698279 |
|     Umi_A03 | 20210201_1000 | 1.68549933158 |
|     Umi_A03 | 20210201_1100 | 1.55500377128 |
|     Umi_A03 | 20210201_1200 | 1.49188570871 |
|     Umi_A03 | 20210201_1300 | 1.48580079641 |
|     Umi_A03 | 20210201_1400 | 1.53578932668 |
|     Umi_A03 | 20210210_0900 | 1.90703698279 |
|     Umi_A03 | 20210210_1000 | 1.68549933158 |
|     Umi_A03 | 20210210_1100 | 1.55500377128 |
|     Umi_A03 | 20210210_1200 | 1.49188570871 |
